ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
"Chicken fillet sandwich, fried, on white bun",1 miniature/slider,70.0,79.0,28.11,1.82,11.67,26.0,12.45,503.0,4.0,0.8,0.1
"Chicken fillet sandwich, fried, on white bun; with cheese",1 submarine,322.0,184.0,25.16,1.64,13.82,26.0,13.46,568.0,38.0,0.7,0.5
"Chicken fillet sandwich, from school cafeteria","1 sandwich, any size",92.0,107.0,29.8,3.09,8.06,55.0,14.62,446.0,0.0,0.3,0.1
"Chicken fillet sandwich, grilled, from fast food",1 large sandwich,280.0,60.0,19.4,1.59,6.18,25.0,21.5,430.0,5.0,0.5,0.0
"Chicken fillet sandwich, grilled, from fast food, with cheese",1 miniature/slider,80.0,168.0,17.55,1.44,9.05,26.0,21.36,504.0,39.0,0.4,0.5
"Chicken fillet sandwich, grilled, on wheat bun",Quantity not specified,140.0,67.0,17.84,1.51,4.87,39.0,22.46,387.0,5.0,0.0,0.0
"Chicken fillet sandwich, grilled, on wheat bun, with cheese",1 submarine,322.0,176.0,16.17,1.37,7.94,38.0,22.19,468.0,40.0,0.0,0.5
"Chicken fillet sandwich, grilled, on white bun",1 sandwich (1 slice bread),70.0,61.0,19.69,1.62,4.84,26.0,21.82,408.0,5.0,0.5,0.0
"Chicken fillet sandwich, grilled, on white bun, with cheese",1 miniature/slider,80.0,170.0,17.78,1.46,7.92,26.0,21.64,487.0,40.0,0.4,0.5
"Chicken fillet wrap sandwich, fried, from fast food",Quantity not specified,161.0,181.0,24.42,1.68,16.68,26.0,12.68,694.0,37.0,0.3,0.5
"Chicken fillet wrap sandwich, grilled, from fast food",Quantity not specified,161.0,169.0,17.3,1.51,10.42,26.0,20.83,574.0,39.0,0.0,0.5
"Chicken fillet, breaded",1 cubic inch,17.0,39.0,14.86,0.84,13.58,29.0,14.62,527.0,7.0,0.5,0.1
"Chicken fillet, grilled",Quantity not specified,100.0,11.0,2.36,0.37,5.81,21.0,22.31,450.0,4.0,0.0,0.0
"Chicken fricassee, Puerto Rican style","1 cup, NFS",223.0,18.0,7.17,0.77,10.65,20.0,12.13,753.0,20.0,16.9,0.1
"Chicken in soy-based sauce, rice and vegetables, frozen meal",1 meal (9 oz),255.0,16.0,18.06,0.56,0.91,15.0,6.56,333.0,11.0,3.6,0.0
Chicken kiev,Quantity not specified,258.0,43.0,5.45,0.66,19.21,24.0,21.31,644.0,83.0,0.0,0.1
"Chicken leg, drumstick and thigh, NS as to cooking method, skin eaten","1 cup, cooked, diced",135.0,18.0,0.12,0.98,13.63,22.0,23.77,358.0,19.0,0.0,0.0
"Chicken leg, drumstick and thigh, NS as to cooking method, skin not eaten","1 oz, cooked",28.35,16.0,0.0,1.0,9.15,22.0,25.54,362.0,12.0,0.0,0.0
"Chicken leg, drumstick and thigh, baked or broiled, skin eaten",1 large leg,185.0,10.0,0.0,1.08,12.81,22.0,23.16,341.0,14.0,0.0,0.2
"Chicken leg, drumstick and thigh, baked or broiled, skin not eaten",1 small leg,105.0,10.0,0.0,1.13,7.13,23.0,24.41,345.0,7.0,0.0,0.1
"Chicken leg, drumstick and thigh, baked, coated, skin / coating eaten",Quantity not specified,195.0,14.0,3.98,1.25,13.4,21.0,20.99,428.0,14.0,0.0,0.2
"Chicken leg, drumstick and thigh, baked, coated, skin / coating not eaten",1 large leg,155.0,10.0,0.0,1.11,8.96,23.0,23.87,419.0,7.0,0.0,0.1
"Chicken leg, drumstick and thigh, fried, coated, skin / coating eaten","1 cup, cooked, diced",135.0,15.0,5.98,1.3,17.2,20.0,19.04,353.0,13.0,0.0,0.1
"Chicken leg, drumstick and thigh, fried, coated, skin / coating not eaten","1 cup, cooked, diced",135.0,10.0,0.0,1.11,8.98,23.0,23.92,343.0,7.0,0.0,0.1
"Chicken leg, drumstick and thigh, grilled with sauce, skin eaten","1 leg, NS as to size",195.0,14.0,7.28,0.98,12.32,20.0,18.64,578.0,13.0,0.1,0.1
"Chicken leg, drumstick and thigh, grilled with sauce, skin not eaten",Quantity not specified,185.0,14.0,7.28,1.02,7.79,21.0,19.63,582.0,8.0,0.1,0.1
"Chicken leg, drumstick and thigh, grilled without sauce, skin eaten","1 leg, NS as to size",140.0,10.0,0.0,1.06,14.52,21.0,22.65,414.0,14.0,0.0,0.2
"Chicken leg, drumstick and thigh, grilled without sauce, skin not eaten",1 small leg,105.0,10.0,0.0,1.11,8.96,23.0,23.87,419.0,7.0,0.0,0.1
"Chicken leg, drumstick and thigh, rotisserie, skin eaten","1 leg quarter (yield after cooking, bone removed)",140.0,18.0,0.12,0.98,13.63,22.0,23.77,358.0,19.0,0.0,0.0
"Chicken leg, drumstick and thigh, rotisserie, skin not eaten",1 leg,120.0,16.0,0.0,1.0,9.15,22.0,25.54,362.0,12.0,0.0,0.0
"Chicken leg, drumstick and thigh, sauteed, skin eaten","1 leg, NS as to size",140.0,10.0,0.0,1.06,14.52,21.0,22.65,414.0,14.0,0.0,0.2
"Chicken leg, drumstick and thigh, sauteed, skin not eaten",1 medium leg,120.0,10.0,0.0,1.11,8.96,23.0,23.87,419.0,7.0,0.0,0.1
"Chicken leg, drumstick and thigh, stewed, skin eaten","1 oz, cooked",28.35,12.0,0.0,1.09,13.44,22.0,22.45,396.0,14.0,0.0,0.2
"Chicken leg, drumstick and thigh, stewed, skin not eaten",1 medium leg,130.0,12.0,0.0,1.13,7.5,24.0,24.1,399.0,8.0,0.0,0.2
"Chicken nuggets, NFS",1 cup,140.0,11.0,14.93,0.83,20.36,24.0,15.92,594.0,5.0,0.6,0.2
"Chicken nuggets, from fast food",1 chicken bite,16.0,11.0,14.93,0.83,20.36,24.0,15.92,594.0,5.0,0.6,0.2
"Chicken nuggets, from frozen",Quantity not specified,80.0,52.0,17.88,1.06,19.23,28.0,13.36,600.0,18.0,0.4,0.3
"Chicken nuggets, from other sources",1 nugget,16.0,23.0,15.81,0.9,20.02,25.0,15.15,596.0,9.0,0.5,0.2
"Chicken nuggets, from restaurant",1 cup,140.0,11.0,14.93,0.83,20.36,24.0,15.92,594.0,5.0,0.6,0.2
"Chicken nuggets, from school lunch",1 cup,140.0,32.0,22.86,1.99,12.9,24.0,15.67,511.0,16.0,0.6,0.3
"Chicken or turkey a la king with vegetables excluding carrorts, broccoli, and dark-green leafy; no potatoes, cream, white, or soup-based sauce",1 cup,241.0,60.0,6.31,0.7,13.34,14.0,9.57,482.0,109.0,2.0,0.7
"Chicken or turkey a la king with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cream, white, or soup-based sauce",1 Banquet's Cookin' Bag (4.5 oz),128.0,63.0,6.76,0.63,13.8,14.0,9.41,428.0,246.0,2.6,1.0
Chicken or turkey and noodles with cheese sauce,1 cup,224.0,97.0,13.56,0.9,6.16,19.0,8.95,341.0,28.0,0.2,0.3
Chicken or turkey and noodles with cream or white sauce,1 cup,224.0,45.0,15.24,0.94,5.51,18.0,7.39,343.0,45.0,0.0,0.4
Chicken or turkey and noodles with gravy,1 cup,224.0,12.0,15.23,0.94,5.67,16.0,6.99,350.0,5.0,0.0,0.1
Chicken or turkey and noodles with mushroom sauce,1 cup,224.0,24.0,14.86,0.89,5.46,16.0,6.92,337.0,10.0,0.0,0.2
Chicken or turkey and noodles with soy-based sauce,Quantity not specified,224.0,19.0,7.6,0.54,9.02,16.0,11.61,391.0,6.0,1.8,0.0
Chicken or turkey and noodles with tomato-based sauce,Quantity not specified,280.0,13.0,15.17,1.22,5.44,20.0,7.12,343.0,12.0,2.2,0.1
"Chicken or turkey and noodles, no sauce",Quantity not specified,196.0,11.0,15.47,1.04,6.14,17.0,7.73,353.0,5.0,0.0,0.1
Chicken or turkey and potatoes with gravy,1 cup,242.0,11.0,9.04,0.66,6.35,15.0,7.47,428.0,2.0,6.1,0.0
Chicken or turkey and rice with cream sauce,1 cup,248.0,48.0,12.78,0.83,5.86,15.0,8.13,380.0,59.0,1.2,0.5
Chicken or turkey and rice with mushroom sauce,Quantity not specified,310.0,22.0,15.43,0.71,5.48,11.0,5.67,346.0,7.0,0.0,0.2
Chicken or turkey and rice with soy-based sauce,Quantity not specified,244.0,20.0,8.01,0.74,9.21,18.0,11.97,395.0,6.0,1.9,0.0
Chicken or turkey and rice with tomato-based sauce,Quantity not specified,305.0,12.0,15.66,1.0,6.18,14.0,5.72,349.0,8.0,2.1,0.0
"Chicken or turkey and rice, no sauce",1 cup,196.0,10.0,16.97,0.86,5.84,12.0,6.46,353.0,2.0,0.0,0.0
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, cheese sauce",Quantity not specified,249.0,132.0,5.54,0.43,7.24,18.0,9.87,365.0,38.0,1.2,0.4
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",Quantity not specified,252.0,15.0,6.43,0.39,7.45,14.0,7.16,368.0,7.0,1.2,0.0
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",1 cup,162.0,14.0,5.08,0.45,7.96,16.0,8.72,379.0,9.0,1.5,0.0
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",1 cup,217.0,22.0,4.39,0.6,8.22,19.0,10.7,352.0,11.0,13.2,0.0
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",1 cup,249.0,17.0,6.35,0.79,7.81,19.0,7.28,366.0,17.0,4.4,0.0
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cheese sauce",1 cup,249.0,135.0,3.88,0.43,7.24,15.0,9.83,353.0,152.0,5.8,0.4
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",1 cup,252.0,19.0,4.47,0.4,7.44,11.0,7.1,367.0,141.0,6.5,0.0
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",1 cup,162.0,21.0,2.88,0.5,7.78,13.0,9.66,386.0,200.0,9.3,0.0
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",1 cup,217.0,20.0,5.38,0.56,4.56,15.0,8.18,413.0,56.0,8.1,0.0
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",1 cup,249.0,20.0,4.42,0.79,7.8,16.0,7.23,365.0,149.0,9.7,0.0
Chicken or turkey cacciatore,1 slice of chicken with sauce,24.0,42.0,6.92,1.02,10.62,21.0,13.19,664.0,18.0,5.4,0.1
"Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",1 cup,90.0,56.0,2.99,0.42,1.94,24.0,8.52,265.0,182.0,8.8,0.0
"Chicken or turkey cake, patty, or croquette",1 cubic inch,14.2,22.0,2.59,0.86,18.75,20.0,20.83,575.0,25.0,0.3,0.3
Chicken or turkey chow mein or chop suey with noodles,1 cup,220.0,19.0,11.15,1.25,5.43,14.0,9.91,408.0,10.0,4.2,0.0
"Chicken or turkey chow mein or chop suey, no noodles",Quantity not specified,165.0,21.0,3.84,0.52,3.23,14.0,9.78,344.0,11.0,4.8,0.0
Chicken or turkey cordon bleu,1 roll (1/2 breast with ham and sauce),229.0,97.0,9.29,1.13,9.17,25.0,22.64,589.0,52.0,1.8,0.2
"Chicken or turkey creole, without rice",Quantity not specified,246.0,24.0,2.99,0.72,4.22,19.0,13.8,364.0,16.0,12.1,0.0
Chicken or turkey divan,Quantity not specified,236.0,97.0,4.01,0.71,7.26,19.0,15.51,295.0,69.0,16.9,0.3
Chicken or turkey fricassee,Quantity not specified,244.0,9.0,3.54,0.55,7.16,10.0,10.68,418.0,3.0,0.0,0.2
"Chicken or turkey fricassee, no sauce, no potatoes, Puerto Rican style",Quantity not specified,223.0,14.0,0.0,0.71,11.01,22.0,25.15,742.0,8.0,0.0,0.0
"Chicken or turkey fricassee, with sauce, no potatoes, potatoes reported separately, Puerto Rican style",Quantity not specified,223.0,17.0,2.54,0.71,13.12,17.0,14.0,593.0,11.0,10.1,0.1
"Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",1 salad,321.0,94.0,3.0,0.37,5.61,23.0,10.95,228.0,189.0,6.3,0.1
"Chicken or turkey garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",1 Burger King salad,370.0,97.0,3.02,0.35,4.52,23.0,10.26,176.0,194.0,6.4,0.1
"Chicken or turkey garden salad, chicken and/or turkey, other vegetables excluding tomato and carrots, no dressing",1 cup,90.0,25.0,2.62,0.37,1.41,22.0,10.85,140.0,115.0,10.1,0.0
"Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing",Quantity not specified,344.0,25.0,3.04,0.36,1.33,21.0,10.1,136.0,161.0,6.4,0.0
Chicken or turkey hash,1 cup,190.0,24.0,8.27,0.67,4.1,22.0,9.57,259.0,8.0,4.0,0.1
Chicken or turkey parmigiana,Quantity not specified,209.0,117.0,8.3,1.01,8.34,21.0,16.25,414.0,50.0,2.0,0.2
Chicken or turkey salad with egg,1 cup,226.0,22.0,2.73,0.53,18.06,14.0,13.81,453.0,27.0,0.7,0.2
Chicken or turkey salad with nuts and/or fruits,Quantity not specified,113.0,31.0,6.11,0.6,17.91,27.0,12.51,391.0,13.0,1.0,0.0
"Chicken or turkey salad, made with Italian dressing",Quantity not specified,113.0,21.0,5.37,0.47,7.84,16.0,13.62,564.0,13.0,0.8,0.0
"Chicken or turkey salad, made with any type of fat free dressing",1 cup,226.0,19.0,6.28,0.44,3.81,15.0,13.32,525.0,12.0,0.7,0.0
"Chicken or turkey salad, made with creamy dressing",Quantity not specified,113.0,24.0,4.02,0.48,13.09,15.0,13.76,526.0,16.0,0.7,0.0
"Chicken or turkey salad, made with light Italian dressing",Quantity not specified,113.0,21.0,4.93,0.47,4.71,15.0,13.56,543.0,13.0,0.7,0.0
"Chicken or turkey salad, made with light creamy dressing",1 cup,226.0,19.0,4.28,0.44,6.36,15.0,13.75,532.0,15.0,0.8,0.0
"Chicken or turkey salad, made with light mayonnaise",Quantity not specified,113.0,19.0,4.76,0.44,8.15,15.0,13.55,529.0,14.0,0.7,0.0
"Chicken or turkey salad, made with light mayonnaise-type salad dressing",1 cup,226.0,19.0,4.76,0.44,8.15,15.0,13.55,529.0,14.0,0.7,0.0
"Chicken or turkey salad, made with mayonnaise",Quantity not specified,113.0,20.0,2.88,0.46,18.76,15.0,13.92,484.0,16.0,0.8,0.0
"Chicken or turkey salad, made with mayonnaise-type salad dressing",Quantity not specified,113.0,19.0,5.95,0.44,7.95,15.0,13.68,490.0,14.0,0.7,0.0
"Chicken or turkey shish kabob with vegetables, excluding potatoes",1 shishkabob,202.0,17.0,5.06,0.5,3.69,18.0,13.04,346.0,14.0,15.0,0.0
Chicken or turkey souffle,1 cup,159.0,73.0,5.59,0.86,11.33,15.0,11.72,380.0,132.0,0.0,1.2
Chicken or turkey tetrazzini,1 cup,246.0,18.0,6.96,0.43,4.79,14.0,11.96,386.0,22.0,0.0,0.1
Chicken or turkey with cheese sauce,1 cup,241.0,103.0,1.64,0.61,8.9,22.0,21.77,527.0,30.0,0.2,0.3
Chicken or turkey with cream sauce,1/2 chicken breast with sauce,129.0,46.0,2.75,0.61,7.48,20.0,19.82,510.0,47.0,0.0,0.4
Chicken or turkey with dumplings,Quantity not specified,244.0,50.0,8.04,0.99,5.55,17.0,15.69,488.0,9.0,0.0,0.1
Chicken or turkey with mushroom sauce,1 slice of chicken with sauce,22.0,25.0,1.84,0.55,5.7,18.0,19.29,521.0,12.0,0.0,0.1
Chicken or turkey with stuffing,1 cup,200.0,25.0,11.74,1.09,4.88,22.0,20.04,454.0,6.0,0.0,0.0
Chicken or turkey with teriyaki,1 chicken leg with sauce,145.0,16.0,1.62,0.86,5.96,28.0,25.73,723.0,8.0,0.0,0.0
"Chicken or turkey, breaded, fried, caesar garden salad, chicken and/or turkey, lettuce, tomatoes, cheese, no dressing",1 salad,314.0,53.0,7.08,0.53,6.85,24.0,6.31,247.0,171.0,8.5,0.1
"Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",Quantity not specified,324.0,65.0,6.36,0.46,7.72,22.0,6.78,256.0,192.0,7.1,0.1
"Chicken or turkey, breaded, fried, garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",1 Burger King salad,370.0,98.0,6.47,0.44,7.9,22.0,6.5,217.0,253.0,7.9,0.1
"Chicken or turkey, dumplings, and vegetables excluding carrots, broccoli, and dark green leafy; gravy",1 cup,249.0,71.0,12.8,0.92,6.22,13.0,5.65,340.0,10.0,0.7,0.1
"Chicken or turkey, dumplings, and vegetables including carrots, broccoli, and/or dark green leafy; gravy",1 cup,249.0,73.0,11.62,0.92,6.64,11.0,5.59,344.0,87.0,3.8,0.1
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",1 cup,244.0,97.0,15.32,0.97,5.97,22.0,8.93,340.0,29.0,0.9,0.3
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",1 cup,224.0,14.0,14.86,0.88,5.2,17.0,6.13,344.0,7.0,0.7,0.0
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",1 cup,162.0,16.0,18.11,1.15,5.41,22.0,8.0,352.0,9.0,0.9,0.1
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",1 cup,224.0,15.0,14.69,1.1,5.84,20.0,6.19,342.0,12.0,2.5,0.0
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",1 cup,224.0,24.0,14.49,0.83,5.64,17.0,6.09,345.0,11.0,0.6,0.2
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",Quantity not specified,305.0,99.0,14.16,0.97,5.97,20.0,8.9,346.0,108.0,4.0,0.3
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",1 cup,224.0,26.0,13.46,0.83,5.64,15.0,6.06,338.0,82.0,3.5,0.2
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",1 cup,224.0,16.0,13.69,0.88,5.62,15.0,6.08,335.0,83.0,3.8,0.0
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",1 cup,162.0,18.0,16.59,1.15,5.46,20.0,7.95,351.0,112.0,5.1,0.1
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",1 cup,224.0,17.0,13.58,1.1,5.84,18.0,6.16,348.0,88.0,5.6,0.0
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Quantity not specified,252.0,94.0,12.86,0.44,5.93,22.0,7.57,337.0,26.0,4.2,0.3
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",Quantity not specified,252.0,22.0,12.14,0.35,6.75,16.0,4.84,338.0,9.0,3.6,0.1
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",1 cup,252.0,12.0,12.27,0.36,6.82,17.0,4.75,336.0,4.0,3.9,0.0
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",1 cup,162.0,13.0,14.81,0.45,5.7,21.0,6.21,356.0,5.0,5.3,0.0
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",1 cup,252.0,13.0,12.18,0.58,7.03,20.0,4.84,335.0,9.0,5.6,0.0
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",Quantity not specified,252.0,96.0,11.71,0.44,5.93,20.0,7.54,343.0,104.0,7.3,0.3
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",1 cup,252.0,23.0,11.08,0.35,7.12,14.0,4.79,342.0,78.0,6.4,0.1
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",1 cup,252.0,14.0,11.17,0.36,6.82,15.0,4.72,342.0,79.0,6.9,0.0
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",1 cup,162.0,16.0,13.29,0.45,5.97,19.0,6.16,345.0,107.0,9.3,0.0
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",1 cup,252.0,15.0,11.09,0.58,7.02,18.0,4.81,341.0,84.0,8.6,0.0
"Chicken or turkey, potatoes, corn, and cheese, with gravy",Quantity not specified,531.0,41.0,13.27,0.43,6.11,17.0,4.51,353.0,26.0,0.7,0.2
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",1 cup,249.0,96.0,16.69,0.85,5.16,18.0,8.09,338.0,26.0,0.9,0.3
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",Quantity not specified,315.0,23.0,15.67,0.72,5.29,13.0,5.31,342.0,9.0,0.6,0.1
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Quantity not specified,315.0,13.0,16.03,0.75,5.46,13.0,5.25,339.0,4.0,0.7,0.0
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",1 cup,162.0,14.0,19.78,0.98,4.96,17.0,6.85,356.0,5.0,0.9,0.0
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",1 cup,217.0,20.0,7.79,0.69,7.15,18.0,9.64,305.0,10.0,11.4,0.0
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Quantity not specified,311.0,14.0,15.94,0.98,5.48,16.0,5.35,339.0,10.0,2.5,0.0
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",1 cup,249.0,98.0,15.54,0.85,5.15,16.0,8.05,344.0,105.0,4.0,0.3
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",Quantity not specified,315.0,25.0,14.57,0.72,5.68,11.0,5.26,346.0,79.0,3.5,0.1
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Quantity not specified,315.0,15.0,14.89,0.75,5.66,11.0,5.21,344.0,80.0,3.7,0.0
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",1 cup,162.0,17.0,18.2,0.98,5.47,14.0,6.78,345.0,108.0,5.0,0.0
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Quantity not specified,217.0,26.0,7.95,0.69,6.92,18.0,9.36,307.0,120.0,12.8,0.0
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Quantity not specified,311.0,16.0,14.84,0.98,5.47,14.0,5.32,345.0,85.0,5.5,0.0
"Chicken or turkey, rice, corn, and cheese, with gravy",Quantity not specified,480.0,44.0,14.43,0.7,7.85,16.0,5.62,424.0,19.0,0.8,0.3
"Chicken or turkey, stuffing, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Quantity not specified,244.0,21.0,11.81,0.63,6.82,13.0,5.22,355.0,54.0,0.7,0.0
"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Quantity not specified,244.0,25.0,11.27,0.66,7.18,11.0,5.46,380.0,136.0,3.9,0.0
"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Quantity not specified,162.0,30.0,13.28,0.86,8.74,14.0,7.12,369.0,183.0,5.3,0.0
"Chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce",Quantity not specified,162.0,27.0,14.85,0.86,8.75,17.0,7.17,361.0,76.0,0.9,0.0
"Chicken patty, breaded",1 patty,75.0,19.0,12.84,0.95,19.58,24.0,14.85,532.0,0.0,0.0,0.3
"Chicken patty, or nuggets, boneless, breaded, potatoes, vegetable, frozen meal",1 Banquet meal (6.75 oz),191.0,23.0,16.0,0.66,8.1,25.0,10.68,376.0,9.0,3.5,0.1
Chicken salad sandwich on wheat,Quantity not specified,180.0,67.0,17.06,1.36,13.83,29.0,13.08,469.0,11.0,0.5,0.0
Chicken salad sandwich on white,1 miniature/slider,90.0,83.0,18.32,1.43,13.7,19.0,12.42,473.0,11.0,0.5,0.0
Chicken salad sandwich wrap,Quantity not specified,200.0,149.0,16.99,1.41,16.56,18.0,12.89,603.0,38.0,0.5,0.4
Chicken salad spread,Quantity not specified,42.0,10.0,7.41,0.61,13.52,10.0,11.64,653.0,42.0,1.0,0.2
Chicken skin,Quantity not specified,30.0,14.0,0.0,1.5,40.34,15.0,20.19,387.0,77.0,0.0,0.2
"Chicken tenders or strips, NFS",1 chicken fry,14.0,17.0,17.25,0.73,13.95,28.0,19.22,769.0,3.0,1.1,0.2
"Chicken tenders or strips, breaded, from fast food",1 chicken fry,14.0,17.0,17.25,0.73,13.95,28.0,19.22,769.0,3.0,1.1,0.2
"Chicken tenders or strips, breaded, from frozen",1 tender or finger,17.0,39.0,14.86,0.84,13.58,29.0,14.62,527.0,7.0,0.5,0.1
"Chicken tenders or strips, breaded, from other sources","1 tender, strip, or finger",50.0,24.0,16.53,0.76,13.84,28.0,17.84,696.0,4.0,0.9,0.2
"Chicken tenders or strips, breaded, from restaurant","1 tender, strip, or finger",50.0,17.0,16.9,0.72,15.62,27.0,18.82,791.0,3.0,1.1,0.3
"Chicken tenders or strips, breaded, from school lunch",Quantity not specified,80.0,32.0,22.86,1.99,12.9,24.0,15.67,511.0,16.0,0.6,0.3
"Chicken thigh, NS as to cooking method, skin eaten","1 cup, cooked, diced",135.0,16.0,0.12,0.95,15.08,21.0,22.51,335.0,20.0,0.0,0.0
"Chicken thigh, NS as to cooking method, skin not eaten","1 oz, cooked",28.35,13.0,0.0,0.97,10.74,21.0,24.09,335.0,13.0,0.0,0.0
"Chicken thigh, baked or broiled, skin eaten, from fast food / restaurant",1 thigh,80.0,9.0,0.0,1.05,16.25,21.0,22.57,482.0,16.0,0.0,0.2
"Chicken thigh, baked or broiled, skin eaten, from pre-cooked",Quantity not specified,80.0,16.0,0.12,0.95,15.08,21.0,22.51,335.0,20.0,0.0,0.0
"Chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant",1 thigh,70.0,9.0,0.0,1.1,9.89,23.0,24.02,486.0,8.0,0.0,0.2
"Chicken thigh, baked or broiled, skin not eaten, from pre-cooked","1 cup, cooked, diced",135.0,13.0,0.0,0.97,10.74,21.0,24.09,335.0,13.0,0.0,0.0
"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",1 large thigh,105.0,9.0,0.0,1.07,14.62,22.0,23.12,332.0,16.0,0.0,0.2
